Zusammenfassung
Ort;Ohne Baufreigabe;Noch zu bauen;Noch zu montieren;In Betrieb zu nehmen
Sundern;384;0;8;39

Datensätze (Ortsfilter)
CS-ID;Projektkenner;PLZ;Ort;Ortsteil;Straße;Hausnummer;Zusatz;Baufreigabe;HA-Status;Betriebsstatus;HA gebaut am (CL);ONT gebaut am / Montage (AC);Verfügbar ab (AT);Wohneinheiten;Home-IDs;ONT-Seriennummern;Tiefbau;Montagefirma;NVT-Nr;NVT-Nr (gebaut);Rohrfarbe;Strangfarbe;NE4;wohneinheiten_anzahl_montage;ont_typ_we_1;rasternummer_ha_kasette;apl_kabeltyp;kabellaenge_ha_nvt;splitternummer_mux_we_1;barcode_ont_we_1;home_id_ont_we_1;splitternummer_mux_we_2;barcode_ont_we_2;home_id_ont_we_2;splitternummer_mux_we_3;barcode_ont_we_3;home_id_ont_we_3;splitternummer_mux_we_4;barcode_ont_we_4;home_id_ont_we_4;splitternummer_mux_we_5;barcode_ont_we_5;home_id_ont_we_5;splitternummer_mux_we_6;barcode_ont_we_6;home_id_ont_we_6;splitternummer_mux_we_7;barcode_ont_we_7;home_id_ont_we_7;splitternummer_mux_we_8;barcode_ont_we_8;home_id_ont_we_8;splitternummer_mux_we_9;barcode_ont_we_9;home_id_ont_we_9;splitternummer_mux_we_10;barcode_ont_we_10;home_id_ont_we_10;splitternummer_mux_we_11;barcode_ont_we_11;home_id_ont_we_11;splitternummer_mux_we_12;barcode_ont_we_12;home_id_ont_we_12;ONT Datum;APL Datum;ha_gebaut;bemerkungsfeld_des_ont;Offene Stufe
HA213982;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Drosselweg;21;;JA;HA gebaut;homesPreparedTemp;10.09.2025;14.10.2025;15.11.2025;6;W00R6CH0 | W00R6CL6 | W00R6CM9 | W00R6CND | W00R6CRL | W00R6CTP;;Albatrosbau;Albatrosbau;869;869;rosa (12);gelb;;6;;66;1x12;421;3;;W00R6CH0;3;;W00R6CL6;3;;W00R6CM9;3;;W00R6CND;3;;W00R6CRL;3;;W00R6CTP;;;;;;;;;;;;;;;;;;;14.10.2025;14.10.2025;10.09.2025;;Gebaut, wartet auf Montage
HA213465;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Brunnenstraße;29;;JA;HA betriebsbereit;homesConnected;14.10.2024;05.02.2026;09.03.2026;1;W00LWLAE;ALCLFDF4434E;Albatrosbau;Albatrosbau;861;861;violett_strich (20);;;1;Nokia G-010G-R ONT;50;1x12;230;3;ALCLFDF4434E;W00LWLAE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.02.2026;05.02.2026;14.10.2024;;Betriebsbereit
HA213582;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Forellenweg;11;;JA;HA betriebsbereit;homesConnected;14.09.2023;29.10.2025;08.03.2026;2;W006C24D | W006C25G;ALCLFDE6D72A | ALCLFDE6E071;Albatrosbau;Albatrosbau;867;867;gruen_strich (14);gelb;;2;Nokia G-010G-R ONT;36;1x12;178;2;ALCLFDE6D72A;W006C24D;2;ALCLFDE6E071;W006C25G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.10.2025;29.10.2025;14.09.2023;;Betriebsbereit
HA213700;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;In den Höfen;20;c;JA;HA betriebsbereit;homesConnected;23.09.2025;26.02.2026;09.03.2026;1;W00ME4HC;ALCLFDF4449F;Albatrosbau;Albatrosbau;864;864;weiß_strich (17);blau;;1;Nokia G-010G-R ONT;35;1x12;215;2;ALCLFDF4449F;W00ME4HC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.02.2026;26.02.2026;23.09.2025;;Betriebsbereit
HA213825;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Ringstraße;31;;JA;HA betriebsbereit;homesConnected;02.03.2023;05.08.2024;31.10.2024;2;W0055DT2 | W0055DV5;ALCLB291DC07 | ALCLB291D888;Albatrosbau;Albatrosbau;NVt-866;NVt-866;rosa;gelb;;2;Alcatel G-010G-A ONT;50;1x12;354;17/18;ALCLB291DC07;W0055DT2;17/18;ALCLB291D888;W0055DV5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.08.2024;05.08.2024;02.03.2023;Kunde hat Glasfaser-Router, kein ONT;Betriebsbereit
HA213823;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Ringstraße;29;a;JA;HA betriebsbereit;homesConnected;02.03.2023;14.08.2024;31.10.2024;1;W0055DW8;ALCLB2962580;Albatrosbau;Albatrosbau;866;NVt-866;gruen_strich;gelb;;1;Alcatel G-010G-A ONT;21;1x12;463;13/14;ALCLB2962580;W0055DW8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2024;14.08.2024;02.03.2023;;Betriebsbereit
HA213862;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Ringstraße;92;;JA;HA betriebsbereit;homesConnected;07.05.2023;13.02.2024;22.05.2024;1;W0055184;ALCLB29624A6;Albatrosbau;Albatrosbau;865;;grau_strich;gelb;;1;Alcatel G-010G-A ONT;01;1x12;56;;ALCLB29624A6;W0055184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.02.2024;13.02.2024;07.05.2023;Ok;Betriebsbereit
HA213867;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Ringstraße;105;;NEIN;Keine Baufreigabe;homesPassed;;;30.06.2025;;;;Albatrosbau;Albatrosbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Baufreigabe
HA337283;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Zum Rosengarten;6;;JA;HA gebaut;homesPreparedTemp;19.09.2023;05.12.2024;15.11.2025;1;W0055G7G;;Albatrosbau;Albatrosbau;890;890;blau (3);rot;;1;Nokia G-010G-Q ONT;5;1x12;86;;;W0055G7G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.12.2024;05.12.2024;19.09.2023;;Gebaut, wartet auf Montage
HA213728;01-07-05-0067-0000-Langscheid;59846;Sundern;Langscheid;Langscheider Straße;7;a;JA;HA betriebsbereit;homesConnected;23.05.2025;04.11.2025;09.03.2026;1;W00R69Z5;ALCLFD84340B;Albatrosbau;Albatrosbau;1385;1385;tuerkis (9);gruen;;1;Nokia G-010G-R ONT;46;1x12;84;2;ALCLFD84340B;W00R69Z5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.11.2025;04.11.2025;23.05.2025;;Betriebsbereit
